# JD    flux    err_flux    mag   err_mag
2460877.703127583 17.0 6.983659092430902 24.323877696554312 0.44602420696120765
2460878.4975278666 17.46 9.854779213247639 24.29488940157612 0.6128116026186022
2460882.669111805 17.46 10.005036577349212 24.29488940157612 0.6221552372255097
2460906.5797650805 17.38 4.133250796247333 24.29987556971838 0.25820598577854414
2461916.7154725674 17.68 7.374309387759776 24.281294348307362 0.4528594280191484
2462002.6135727344 17.54 5.594400366665277 24.289926027424944 0.34629663751428996
2462237.8310283097 17.38 7.694752761350853 24.29987556971838 0.4806945719022561
2462974.8325592694 20.12 10.535540265465379 24.140930059040272 0.5685296969633616
2462977.788696806 20.14 12.04564011559376 24.139851334456 0.6493737628096844
2463122.5149648283 26.0 7.050708303672792 23.862566630072955 0.2944311259417818
2463329.844302946 17.26 5.64031946243821 24.30739802155202 0.35480295751860225
2463357.7980002863 16.72 5.6145329892969436 24.341909317242504 0.3645874245985993
2463386.789174838 16.98 7.425606676917305 24.325155785230166 0.4748085990237232
2463415.817992353 17.8 10.939595892221197 24.273949994227763 0.6672761418880824
2463803.7475891723 16.74 6.458595447895656 24.340611365856894 0.4188967090601172
2464068.8351392206 17.82 6.93456474960395 24.272730750747858 0.42250886716523584
2464426.8096505175 17.28 6.9998698832739255 24.306140654642814 0.43981551856866674
