# JD    flux    err_flux    mag   err_mag
2460861.7378153987 8.54 13.559863753899895 25.071355323277487 1.723938525667049
2460863.6225198954 7.76 12.99557774330884 25.175345696854528 1.8182692342344533
2460863.645536493 8.76 10.639967791307175 25.0437397345798 1.318744092292533
2460864.651625298 7.54 10.187437827685686 25.206571635325563 1.4669588969815464
2461252.787293335 7.6 10.10002580841449 25.197966019298022 1.4428899591035669
2461252.788183485 8.4 12.866688356555994 25.089301784845293 1.6630749266729428
2461252.8100526384 8.7 13.968847299316014 25.051201868453454 1.7432739369661168
2461252.8109422927 8.38 12.181724910673342 25.091889953424307 1.5782983021386678
2461515.778490515 8.44 25.5175712342132 25.08414388343586 3.282624519725102
2461515.779382242 7.98 10.453295290263586 25.144992771623176 1.4222457588554906
2461515.801373278 7.64 10.278472754289336 25.192266603560775 1.46069502604083
2461515.802265966 8.22 21.671016327585 25.112820456149873 2.8624096132315806
2461596.7781878784 7.82 11.087510199233972 25.166983117350377 1.5394004148252358
2461596.778635621 8.64 10.625296746967937 25.058715643802763 1.3352163616298458
2461635.5961466883 8.54 12.96832468148909 25.071355323277487 1.6487329767858485
2461635.619089998 7.82 10.953733327770554 25.166983117350377 1.520826707317933
2461983.722593778 8.18 10.879143842800014 25.11811674082169 1.4439951524326968
2461990.637303919 7.92 12.623920093241555 25.153187046026265 1.730586753940149
2461990.6377618234 8.24 12.947008826943238 25.11018197075721 1.7059509983902128
2461990.6602878813 8.9 15.083484403404302 25.026524983387716 1.8400769787281601
2461990.66073797 8.74 24.421636864932005 25.046221418413992 3.03380495694651
2462584.884077083 7.6 14.783372207264652 25.197966019298022 2.11195295182136
2462672.7686621705 8.12 12.952897245048025 25.126109926897062 1.7319494452537532
2463111.617995022 15.22 32.10150171972255 24.443963368913614 2.289997545611572
2463111.640913455 14.34 13.356555178502429 24.508627121670546 1.011275838783108
2463119.5921894973 13.18 12.938624962937425 24.60021147435502 1.0658523188200664
2463119.615085165 12.44 14.14624064594253 24.662949049113 1.234653185733186
2463137.510261051 10.08 14.654280691364423 24.891348669726234 1.5784407838593597
2463137.533754645 10.42 11.602499062115442 24.855330702591235 1.2089494527265812
2463349.868755515 8.02 10.526661737932411 25.13956407928959 1.4250845092413156
2463349.870112669 8.34 13.06609300205911 25.097084873405652 1.7009988281861406
2463376.810390636 7.9 10.177479103876404 25.155932271773896 1.3987414602845487
2463847.6693411837 8.2 11.916567101475676 25.115465369040706 1.5778351632319252
2464169.7239823877 8.02 12.424831455354852 25.13956407928959 1.6820560285656365
2464169.746868342 8.48 13.551782141168406 25.079010369358215 1.7351014751958942
